cat,name,ncell,ngenes,sparsity,Delta_SIL,CV_tgc,Avg_cluster_size,CV_cluster_size,Imbalanced_ratio,Number_of_sigs,Modularity,Nsig,sig_30,sig_100,pure_score,chooseR,chooseR_wscLENS,chooseR_wscanpy,chooseR_welbow,chooseR_wscVI,multiK,multiK_wscLENS,multiK_wscanpy,multiK_welbow,multiK_wscVI,D_chooseR,D_multiK,D_multiK_new,D_chooseR_new
ZhengMix,z_data_785,778,4803,0.89,0.21347633,0.426977217,98.125,0.05646303974019099,1.1555555555555554,10,0.12879171160924174,10,20,90,0.11670521227559372,0.5418555,0.6903611,0.73409134,0.54925734,0.48369637,0.52629375,0.70353556,0.7358116,0.6082145,0.60508335,0.14850555,0.17724180999999994,-0.03227604000000006,-0.04373024000000003
ZhengMix,z_data_2410,2396,8194,0.93,0.22031108,0.446108818,301.25,0.05473944187097852,1.1845018450184501,10,0.09391810361419473,10,20,90,0.07912207093843027,0.63041,0.6079359,0.68439996,0.31110972,0.6758526,0.64208424,0.7302427,0.7095974,0.6925265,0.65515107,-0.022474103,0.08815846000000005,0.020645299999999978,-0.07646406000000006
ZhengMix,z_data_12073,11971,11850,0.95,0.20056874,0.463399202,1468.75,0.07243468202319117,1.2073079791200596,23,0.10604982602990454,23,7,77,0.09131857424117751,0.5582083,0.66796845,0.6554665,0.52084535,0.72310174,0.6228509,0.7730259,0.7665226,0.4880433,0.7010674,0.10976015,0.15017500000000006,0.00650329999999999,-0.05513329
ZhengMix,z_data_4757,4721,9962,0.94,0.23514053,0.445183635,586.25,0.1207452512590646,1.4004237288135593,13,0.09942865989354077,13,17,87,0.08732729566692388,0.58028036,0.6534673,0.71988374,0.44377303,0.7264306,0.65096164,0.7576706,0.7093934,0.6411198,0.7329568,0.07318691,0.10670895999999996,0.024713800000000008,-0.07296330000000006
ZhengMix,z_data_7993,7941,11019,0.95,0.21504274,0.453369647,975.875,0.08403150650004196,1.2789034564958284,19,0.09463993655713865,19,11,81,0.0818064860590606,0.5829877,0.6871361,0.7228782,0.68715835,0.71812814,0.6381087,0.76659423,0.730627,0.3359425,0.6992136,0.1041484,0.12848553000000007,0.03596723000000002,-0.0357421
ZhengMix,z_data_4292,4254,9813,0.94,0.17935354,0.461371541,536.5,0.279391044511489,1.9669811320754718,12,0.1015526253547292,12,18,88,0.08596203714587258,0.63187265,0.698632,0.6499302,0.35710555,0.69890094,0.63689816,0.7480942,0.7165321,0.5905835,0.71673405,0.06675938,0.11119604000000005,0.03136015000000003,-0.0002689399999999953
ZhengMix,z_data_3869,3838,9501,0.94,0.2279891,0.444009453,483.625,0.04715040983171386,1.1545253863134657,13,0.09743091712666474,13,17,87,0.08254311567050276,0.65121806,0.7686988,0.7314092,0.7043769,0.68157274,0.6447563,0.73514676,0.72265416,0.6708611,0.71583813,0.117480725,0.09039046000000006,0.012492599999999965,0.037289600000000034
sim_Tcell,2251-1179,3000,10975,0.91,0.53304565,0.523872197,230.76923076923077,0.8383388446914042,71.5,19,0.06514982562148308,19,11,81,0.0464209762996306,0.6336385,0.75387025,0.59308213,0.27715224,0.5732359,0.6596208,0.82301015,0.49988505,0.27052632,0.59084564,0.12023175,0.16338935,0.16338935,0.12023174999999997
sim_Tcell,2250-1220,2951,10652,0.91,0.5508779,0.524938226,230.76923076923077,1.0277739699629163,53.0,20,0.05246445297794888,20,10,80,0.03701150025698474,0.5423321,0.81829476,0.6040025,0.0715041,0.4903094,0.739153,0.7793807,0.60491425,0.36386377,0.64820313,0.2759626,0.04022770000000009,0.04022770000000009,0.21429226
ZhengMix,z_data_3308,3288,9057,0.94,0.274,0.43117422,413.5,0.28670660885464755,2.0467625899280577,9,0.0895706423885736,9,21,91,0.07757913519426385,0.66861314,0.8078831,0.74573797,0.69368196,0.7611429,0.68549335,0.80903894,0.6271566,0.688262,0.759968,0.1392699,0.12354558999999998,0.04907094000000001,0.04674020000000001
